"filename", "language", "Markdown", "Dart", "YAML", "Swift", "XML", "C++", "JSON", "Properties", "Groovy", "comment", "blank", "total"
"e:\studio projects\sono\lib\view\screen\home_page\icons_home\favorite.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"e:\studio projects\sono\lib\view\screen\home_page\icons_home\notifications.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"e:\studio projects\sono\lib\view\screen\home_screen.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"e:\studio projects\sono\lib\view\screen\language.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\studio projects\sono\lib\view\screen\onboarding.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"e:\studio projects\sono\lib\view\widget\arrow_back.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"e:\studio projects\sono\lib\view\widget\bottom_nav_bar\animated_container.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"e:\studio projects\sono\lib\view\widget\bottom_nav_bar\bottom_nav_bar.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 6, 97
"e:\studio projects\sono\lib\view\widget\home_page\add_ads\add_appbar.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"e:\studio projects\sono\lib\view\widget\home_page\add_ads\add_card.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\studio projects\sono\lib\view\widget\home_page\custom_appbar_home\close_icon_page.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"e:\studio projects\sono\lib\view\widget\home_page\custom_appbar_home\custom_appbar.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 6, 74
"e:\studio projects\sono\lib\view\widget\home_page\custom_appbar_home\icon_appbar.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"e:\studio projects\sono\lib\view\widget\home_page\filter.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"e:\studio projects\sono\lib\view\widget\onboarding\custom_button.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"e:\studio projects\sono\lib\view\widget\onboarding\custom_slider.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"e:\studio projects\sono\lib\view\widget\onboarding\dot_controller.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"e:\studio projects\sono\lib\view\widget\onboarding\skip_button.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"e:\studio projects\sono\lib\view\widget\text_form_field.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 4, 42
"e:\studio projects\sono\pubspec.yaml", "YAML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 51, 6, 80
"Total", "-", 13, 1008, 26, 19, 120, 1, 145, 8, 101, 204, 252, 1897
