"filename", "language", "Dart", "comment", "blank", "total"
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_show_menu.dart", "Dart", -1, 0, -2, -3
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_tablet.dart", "Dart", 9, 0, 1, 10
"/home/nims/studio projects/sono/lib/view/widget/text_form_field.dart", "Dart", 0, 4, -3, 1
"Total", "-", 8, 4, -4, 8
