"filename", "language", "YAML", "Dart", "Groovy", "XML", "HTML", "Markdown", "Properties", "C++", "JSON", "Swift", "comment", "blank", "total"
"/media/nims/ملفاتي/studio projects/sono/lib/logic/bindings/initial_bindings.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"/media/nims/ملفاتي/studio projects/sono/lib/logic/controller/home_screen_controller.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"/media/nims/ملفاتي/studio projects/sono/lib/logic/controller/onboarding_controller.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"/media/nims/ملفاتي/studio projects/sono/lib/main.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"/media/nims/ملفاتي/studio projects/sono/lib/main_screen.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/media/nims/ملفاتي/studio projects/sono/lib/test.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/account.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/advertisements.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/chats.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/home_page.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/add_ads/add.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/favorite.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/notifications.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_screen.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/language.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/onboarding.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/arrow_back.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/bottom_nav_bar/animated_container.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/bottom_nav_bar/bottom_nav_bar.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 97
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/add_ads/add_appbar.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/add_ads/add_card.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/close_icon_page.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/custom_appbar.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 79
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/icon_appbar.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/filter.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/language/custom_button_lang.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/custom_button.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/custom_slider.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/dot_controller.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/skip_button.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/text_form_field.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 42
"/media/nims/ملفاتي/studio projects/sono/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 5, 12
"/media/nims/ملفاتي/studio projects/sono/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 16
"/media/nims/ملفاتي/studio projects/sono/linux/main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/media/nims/ملفاتي/studio projects/sono/linux/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 11, 20, 105
"/media/nims/ملفاتي/studio projects/sono/linux/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 5, 19
"/media/nims/ملفاتي/studio projects/sono/pubspec.yaml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 7, 81
"/media/nims/ملفاتي/studio projects/sono/test/widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/media/nims/ملفاتي/studio projects/sono/web/index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"/media/nims/ملفاتي/studio projects/sono/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"Total", "-", 37, 1240, 101, 120, 38, 13, 8, 95, 180, 19, 232, 348, 2431
