"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/image_asset.dart", "Dart", 0, 2, 0, 2, 4
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/app_bar_theme.dart", "Dart", 0, -14, 0, -5, -19
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/elevated_button_theme.dart", "Dart", 0, -27, 0, -4, -31
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/icon_theme.dart", "Dart", 0, -10, 0, -7, -17
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/text_filed_theme.dart", "Dart", 0, -31, -2, -7, -40
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/text_theme.dart", "Dart", 0, -40, 0, -5, -45
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/app_bar_theme.dart", "Dart", 0, 14, 0, 5, 19
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/elevated_button_theme.dart", "Dart", 0, 27, 0, 4, 31
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/icon_theme.dart", "Dart", 0, 9, 0, 4, 13
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/text_filed_theme.dart", "Dart", 0, 36, 0, 4, 40
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/text_theme.dart", "Dart", 0, 40, 0, 5, 45
"/media/nims/ملفاتي/studio projects/sono/lib/core/functions/get_theme_color.dart", "Dart", 0, 6, 0, 3, 9
"/media/nims/ملفاتي/studio projects/sono/lib/core/functions/theme_text_button_color.dart", "Dart", 0, -5, 0, -2, -7
"/media/nims/ملفاتي/studio projects/sono/lib/core/package/tap_to_exit.dart", "Dart", 0, 49, 0, 5, 54
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/language/ar.dart", "Dart", 0, 1, 3, 7, 11
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/language/en.dart", "Dart", 0, 1, 3, 4, 8
"/media/nims/ملفاتي/studio projects/sono/lib/main.dart", "Dart", 0, 1, 0, -1, 0
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_screen.dart", "Dart", 0, -11, 0, 1, -10
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/close_icon_page.dart", "Dart", 0, 24, 0, 4, 28
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/custom_appbar/appbar_mobile.dart", "Dart", 0, 35, 0, 4, 39
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/custom_appbar/filter.dart", "Dart", 0, 25, 0, 5, 30
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/custom_appbar/page_appbar.dart", "Dart", 0, 43, 0, 3, 46
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/close_icon_page.dart", "Dart", 0, -24, 0, -4, -28
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/custom_appbar.dart", "Dart", 0, -72, -1, -6, -79
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/icon_appbar.dart", "Dart", 0, -18, 0, -4, -22
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/filter.dart", "Dart", 0, -23, 0, -4, -27
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/my_icon_button.dart", "Dart", 0, 16, 0, 3, 19
"/media/nims/ملفاتي/studio projects/sono/lib/view/widget/text_form_field.dart", "Dart", 0, -3, 0, 2, -1
"/media/nims/ملفاتي/studio projects/sono/pubspec.yaml", "YAML", 1, 0, -1, 0, 0
"Total", "-", 1, 51, 2, 16, 70
