"filename", "language", "C++", "Swift", "JSON", "XML", "Dart", "Markdown", "HTML", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"/home/nims/studio projects/sono/lib/core/responsive/responsive_text.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/nims/studio projects/sono/lib/core/responsive/screen_size.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/home/nims/studio projects/sono/lib/core/services/services.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 9, 33
"/home/nims/studio projects/sono/lib/core/utilization/change_local.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 12, 46
"/home/nims/studio projects/sono/lib/core/utilization/localization/language/ar.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 16, 23, 71
"/home/nims/studio projects/sono/lib/core/utilization/localization/language/en.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 15, 18, 65
"/home/nims/studio projects/sono/lib/core/utilization/localization/translation.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 3, 15
"/home/nims/studio projects/sono/lib/data/data_source/static/onboarding_static.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"/home/nims/studio projects/sono/lib/data/model/onboarding_model.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/nims/studio projects/sono/lib/logic/bindings/initial_bindings.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 5, 18
"/home/nims/studio projects/sono/lib/logic/controller/home_screen_controller.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 14, 58
"/home/nims/studio projects/sono/lib/logic/controller/onboarding_controller.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 10, 51
"/home/nims/studio projects/sono/lib/main.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"/home/nims/studio projects/sono/lib/main_screen.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"/home/nims/studio projects/sono/lib/test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 13, 61
"/home/nims/studio projects/sono/lib/view/screen/account.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/nims/studio projects/sono/lib/view/screen/advertisements.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/home/nims/studio projects/sono/lib/view/screen/chats.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"/home/nims/studio projects/sono/lib/view/screen/home_page/home_page.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"/home/nims/studio projects/sono/lib/view/screen/home_page/icons_home/add_ads/add.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"/home/nims/studio projects/sono/lib/view/screen/home_page/icons_home/favorite.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/home/nims/studio projects/sono/lib/view/screen/home_page/icons_home/notifications.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/home/nims/studio projects/sono/lib/view/screen/home_screen.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"/home/nims/studio projects/sono/lib/view/screen/language.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"/home/nims/studio projects/sono/lib/view/screen/onboarding.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"/home/nims/studio projects/sono/lib/view/widget/arrow_back.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"/home/nims/studio projects/sono/lib/view/widget/bottom_nav_bar/animated_container.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"/home/nims/studio projects/sono/lib/view/widget/bottom_nav_bar/bottom_nav_bar.dart", "Dart", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 6, 99
"/home/nims/studio projects/sono/lib/view/widget/close_icon_page.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_logo.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_mobile.dart", "Dart", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_page.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_show_menu.dart", "Dart", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 9, 77
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_tablet.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_web.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/nims/studio projects/sono/lib/view/widget/custom_app_bar/filter.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"/home/nims/studio projects/sono/lib/view/widget/home_page/add_ads/add_appbar.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"/home/nims/studio projects/sono/lib/view/widget/home_page/add_ads/add_card.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/nims/studio projects/sono/lib/view/widget/my_icon_button.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"/home/nims/studio projects/sono/lib/view/widget/onboarding/custom_button.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 46
"/home/nims/studio projects/sono/lib/view/widget/onboarding/custom_slider.dart", "Dart", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 4, 79
"/home/nims/studio projects/sono/lib/view/widget/onboarding/dot_controller.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"/home/nims/studio projects/sono/lib/view/widget/onboarding/skip_button.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"/home/nims/studio projects/sono/lib/view/widget/text_form_field.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 7, 39
